attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,target
1,0,1542,50,45,0.2,0.2,1914,10872,0,0,0,0,0,0.6,0.6,20.2,18,2.2,3827,1774014,90
4,2,4804,232,164,0.2,0.2,115314,86722,0,0,0,0,0,4.4,4.4,18.4,95.4,7.4,1034,1312821,84
2,1,1600,85,136,0.2,0.2,15271,112122,1.6,1.8,1.6,0,0,4.4,5,15.6,31.6,2.5,331,1061296,94
2,0,726,76,81,0.4,0.8,75929,76281,0,0,0,0,0,13,21.2,32.6,50.8,2.5,632,1059584,96
81,94,5480,729,683,9,6.6,476209,430097,0,0,0,0,0,24,24.6,412.4,754.6,2.2,1473,1037573,61
28,40,2417,121,150,0.6,0.6,6596,18532,0.4,0.4,0.4,0,0.2,0,0,36.8,48.4,2,273,1715830,93
98,126,4032,143,79,1.8,2.4,464450,40608,0,0,0,0,0,6.2,8,153.2,259.4,6,7804,1371829,80
8,1,4754,440,395,6.4,1.8,168486,310473,1.4,3.2,2.8,0,0.2,1.4,1.4,305.8,556.2,3.6,278,1006816,74
825,15,4132,182,164,1.6,2.99,79557,167314,6.79,22.95,23.15,0.2,1.2,52.1,60.28,74.85,153.69,1,200,1061000,68
12,2,3388,463,387,5.8,2,309278,98064,28.6,68.6,101,135.6,0,14.8,27,338.8,578.8,2,356,953130,71
11,6,4938,596,711,1.8,1,89363,38418,1.6,1.6,1.6,0,2.2,2.8,2.8,118,201.2,1,336,1024986,81
31,18,2963,429,210,2,3.4,735011,735608,13,21.8,21.8,0,6.2,9,9.2,162.6,272.8,2,487,1038530,75
6,0,1899,222,92,4.79,2.99,299235,26325,0,0,0,0,2.99,2.59,2.99,186.43,387.43,1,1085,1053785,85
0,0,138,9,19,0.2,0.2,425,12721,0,0,0,0,0,0,0,15.6,16.8,1,6027,1855560,98
12,18,1207,280,200,0.2,0.2,13777,74406,2.8,3.4,3.4,0,0,2,2,15.2,28.2,2.2,236,1708720,92
5,0,1333,185,167,3.99,1.2,104199,21861,0,0,0,0,0,2.99,5.99,196.01,281.44,1.2,8052,1858590,88
2,1,3810,174,121,1,1.4,384349,234513,4.19,8.98,17.56,28.54,2.99,24.15,35.53,70.06,162.48,3.3,185,1009234,83
2,0,330,30,29,1.8,1.8,62207,24991,0,0,0,0,0,3.6,6.8,161.2,149,1,6792,1855616,92
11,7,3199,409,208,1,1.2,144553,64604,5.6,7.8,6.8,0,4.8,9.4,11,326.2,251.8,1.4,250,967437,84
10,0,298,53,37,0.4,0.4,138133,12881,3.99,10.58,27.94,60.48,0.8,3.79,25.95,26.15,90.82,1.4,285,1725635,96
35,46,728,138,84,0.2,0.2,114244,19674,0,0,0,0,0,1.4,2.8,16.2,25.2,1.3,971,1009992,95
5,0,1429,225,184,3.6,1,182598,11768,0.4,0.4,0.4,0,0.8,0.2,0.2,188.2,273.2,2.4,330,1717701,90
33,18,3104,208,139,1.4,3,359408,34574,0,0,0,0,0.2,14,17.2,107.6,291.8,4.6,7345,1377104,87
42,5,1609,116,135,1.8,3.2,48167,115657,4.2,16.8,36.4,112.8,0.6,35.2,66.2,123,224.6,2,355,1065910,86
17,3,2542,176,106,3.6,8.8,51858,26836,2.6,8.2,17.4,29.2,1.2,26.2,30,169.4,322,6.2,202,1111174,82
1,0,2185,167,838,0.6,0.8,47868,97238,0,0,0,0,0,0,0,46.2,74.6,1.8,1974,1734194,90
11,5,2822,165,92,1.4,1.2,367038,192213,0,0,0,0,0,4.6,8.6,94.6,112,5.4,2344,1543234,90
182,176,4748,327,235,1.6,2.6,276900,221153,1.6,8.6,23.6,52.4,0,5.4,20,72.8,149.6,3.8,147,1328122,81
0,0,216,32,27,0.2,0.2,3001,23146,0,0,0,0,0,0.4,0.6,15.8,19.4,1,925,1742603,98
6,5,367,72,62,0.4,0.4,2927,13606,2.6,2.6,2.6,0,0.2,0,0,35,34,1,137,1753517,97
50,67,2197,135,118,1,1.6,115733,112170,9.2,59.6,91.6,240.8,1.4,22.6,42,123,320.8,2,245,1010376,85
66,35,2183,133,124,0.2,0.2,74204,52963,0.2,0.2,0.2,0,0.2,6.6,8.8,18.2,52.4,3.8,474,1326890,93
17,26,247,23,35,0.2,0.2,89718,18693,0,0,0,0,0,0,0,15.6,16.8,1.2,7199,1874051,96
1,0,3989,188,139,0.4,0.4,157284,29787,0,0,0,0,0,4.2,4.2,37.4,52.2,2,468,1060715,90
8,2,3000,342,265,3,2.2,280468,127589,0,0,0,0,0,21.8,24.2,169.6,292.4,4.2,1430,1043278,82
2,0,2338,197,91,1.2,1.6,187157,37649,0,0,0,0,0,4.59,12.77,93.21,162.67,1,433,1063786,91
34,45,4051,198,165,2.2,8.58,300514,250049,0,0,0,0,0,3.39,4.59,168.86,209.18,5,957,1604386,81
11,1,697,135,80,2.4,2.8,64101,34394,0,0,0,0,0,0.2,0.2,105.2,181.4,2.2,6359,1703250,91
0,0,151,11,25,0.2,0.2,439,21995,0,0,0,0,0,0,0,15.57,16.77,1,6737,1858691,99
59,65,4327,296,227,3.99,7.58,163390,88519,14.97,42.71,78.44,266.27,0.6,18.56,22.95,246.31,382.24,1.3,171,1060752,77
40,55,5497,160,103,1.4,1.8,31832,42627,5.6,7.2,7.2,0,3.8,3.6,4.4,137,144.4,3.4,325,1445446,80
11,10,2843,499,206,0.6,2.4,644540,560547,3.2,12.4,18,27.4,0.6,12.2,15.4,41.6,126.2,1.4,184,1043746,89
31,41,459,73,59,0.6,2.6,161489,164550,17.6,32.8,38,16.2,0.6,26.8,50,36.6,54.8,2.4,242,1720221,87
80,48,7544,1096,297,3.8,7,2207009,200168,10,21.6,21.2,0,3.4,15.6,19,259.4,626.8,6.4,361,1316955,63
76,85,4335,281,203,3.6,3.2,203259,34160,1.6,2,2,0,0.2,13.6,15.2,196,347.6,5.4,292,1523802,83
6,5,2534,157,154,0.2,0.2,40362,144448,0,0,0,0,0,0,0,15.6,19.6,3,2044,1642912,94
13,5,1129,167,99,0.4,0.6,282508,18904,12.57,23.95,69.66,153.29,0.4,3.79,23.75,39.92,165.07,2.4,256,967705,92
25,35,926,82,48,0.2,0.2,424352,236380,0,0,0,0,0,1.4,2.6,15.6,17.6,2.4,1016,1758643,95
0,0,164,14,15,0.2,0.2,444,3556,0,0,0,0,0,0,0,15.83,16.83,1.4,7418,1869323,98
1,0,443,54,25,0.2,0.2,31996,16345,0.4,0.4,3,7.2,0,0.6,1,16,24.4,3,132,1711738,97
18,1,4108,599,507,7.57,1.99,460349,19771,9.56,34.86,53.78,142.63,0.2,19.32,35.06,379.48,601.79,1,184,963066,68
33,29,2038,228,127,2.4,2,173290,81406,0,0,0,0,0,4.2,4.6,123.4,178.2,7.2,3167,1594966,90
3,2,2547,250,119,1,2.6,265377,23343,8,10.6,18.6,27,16.4,0.4,0.4,118.6,132.6,4.6,173,1072302,88
41,1,3373,287,118,9.2,26.8,1067364,38192,6,19.2,39.2,106.6,9.2,13.6,17.4,310.4,641,3,159,1093850,68
0,0,799,42,28,0.2,0.2,1445,16223,0,0,0,0,0,0.4,0.6,15.77,20.16,1,691,1731210,95
10,1,1414,191,319,1,0.6,272169,51784,0,0,0,0,0,0.6,0.6,50.2,81,2.6,1420,1715034,90
5,0,2232,198,92,3.8,4.8,278965,45357,4,6.6,6,0,2,12,13,234.4,405,1,255,1031590,84
7,0,1629,264,238,5.2,1.4,152408,20174,0,0,0,0,0,0,0,257.4,362.2,2.2,8355,1864778,87
3,2,1388,68,49,0.2,0.2,203366,60254,0,0,0,0,0,5.4,5.4,16,25.4,2.4,5245,1675056,96
4,0,1799,313,115,0.8,3.4,904098,27923,0.4,0.4,0.4,0,0.2,2.8,5.4,45.6,84.4,4.6,159,1110357,91
3,2,1452,118,129,0.2,0.2,54165,25934,0,0,0,0,0,9.4,10.4,16.4,42.6,1.6,446,1060850,93
36,45,3745,432,380,5.8,9.4,576508,641678,2.8,4.2,4.2,0,5.2,3.2,3.2,218.8,389.4,1.8,195,1042576,75
7,4,2241,235,202,0.4,0.4,127621,35747,2.6,4.2,4,0,0.4,2.6,3,166.4,199,391,88,12,0
4,1,1881,179,137,3.4,4.6,239378,64562,0.6,1.2,4,6.4,1.4,99.2,141.6,187,609.2,1.6,1793,952803,73
0,0,303,93,46,0.2,0.2,14776,18949,0,0,0,0,0,1.4,2.6,15.6,17,1,5925,1863899,97
2,1,6162,278,278,0.2,0.2,72571,170757,0,0,0,0,0,5.6,7,15.4,25.2,3.4,3272,1640254,88
8,2,2306,411,208,1.6,2,1166192,126960,1.8,2.2,2.2,0,1,2.8,4.6,97.8,192.6,2.5,387,1072661,85
28,14,6780,255,145,2.8,3.8,149186,69030,0,0,0,0,0.6,4.8,5,249.8,352.8,3.6,864,1642715,74
31,22,4119,203,315,6.19,18.96,74396,49147,3.59,4.39,4.19,0,0.2,1.6,1.6,200,379.44,1.2,316,1083757,74
0,0,183,26,25,0.2,0.2,552,6790,0,0,0,0,0,0.2,0.2,15.57,17.17,1,431,1753792,98
0,0,2441,70,89,0.2,0.2,14125,41814,0,0,0,0,0,0,0,15.63,16.83,1.6,584,1743992,94
39,53,1241,135,106,0.2,0.2,5594,17154,0,0,0,0,0,0.4,0.6,17,22.4,1.5,1613,1081952,94
1,0,1407,59,63,0.2,0.2,9532,14289,0,0,0,0,0,0.6,0.6,31.6,36.8,3,1225,1723778,96
4,1,4147,368,242,0.4,0.4,52481,108660,2.6,4.8,3.6,0,1,6,6.8,40.2,74.8,1,366,1090760,86
1,0,2638,148,126,0.2,0.2,292436,17005,0,0,0,0,0,0,0,22.6,18,2,2493,1700475,94
13,11,3942,183,115,0.6,0.6,253758,171361,0,0,0,0,0,0.2,0.4,42.8,77.4,3.6,3311,1339798,93
8,0,1359,111,76,6.79,19.96,37163,21005,0.2,0.2,0.2,0,0.2,9.58,9.98,236.73,444.11,1,316,1079813,81
2,1,1555,263,117,0.6,2,749837,68458,0,0,0,0,0,6.01,11.62,36.27,63.73,1,2255,1011769,93
107,134,3658,231,159,0.8,1.4,405741,120292,26.2,42.2,62,53,10.2,53.2,98.2,161.2,245.8,1,192,998960,77
3,1,2018,159,118,1,1,116293,62743,0,0,0,0,0,8.2,12.6,90,111.2,2.8,2997,1419893,90
14,13,3398,511,103,2.2,2.2,125593,29286,7.4,35.8,70.4,136.2,0,0.4,0.4,271.2,403.6,1,138,1081218,84
5,4,350,64,49,0.4,0.6,17411,77711,15.6,29.4,29.4,0,1.4,3.6,4.4,36.8,40.4,1,147,1753459,94
3,0,1193,145,152,0.8,2.6,217173,106950,0,0,0,0,0,2.4,2.8,62.2,162.4,1,576,1066038,90
3,1,570,75,63,2.2,2.2,208429,64691,0,0,0,0,0,2.6,2.6,193.8,166.6,2,1320,1796026,84
5,1,1960,425,161,3.2,6.2,892842,246681,2.6,11,95.6,132,0.4,29.8,58,230.6,336.2,3,214,1757221,80
34,47,174,13,10,0.2,0.2,7611,1522,0,0,0,0,0,0,0,16,37,2,10061,1871970,98
3,1,319,30,17,1.6,1.4,66781,37738,0,0,0,0,0,3.61,6.81,133.47,123.25,1.2,7998,1874464,92
188,199,1363,207,71,1.79,1.79,1253463,105106,0,0,0,0,0,4.18,5.78,135.66,143.82,4.8,7644,1855914,86
18,3,2358,224,155,1.8,1.8,132209,23741,0,0,0,0,0,14.2,22.2,97.6,185.4,1.5,1901,1092824,86
157,165,1225,220,16,1.8,2,1170456,9245,0,0,0,0,0,0.6,0.6,136.4,199,2.4,8416,1864085,92
15,9,1852,174,153,0.4,0.4,31744,45354,18.16,41.12,65.07,71.06,0,19.56,33.33,94.41,163.47,1.3,282,963205,87
11,11,3268,229,133,0.2,0.2,135267,29878,3.41,5.81,11.22,17.84,0.8,2.61,4.61,17.64,41.48,1,127,981844,92
24,37,1195,140,67,0.2,0.2,197189,16598,1.8,1.8,1.6,0,3.6,8.2,9,28.6,53.4,4.7,330,992792,93
40,54,844,28,33,0.2,0.2,817,11451,0,0,0,0,0,0,0,15.6,16.8,2,4707,1727696,96
1,0,581,54,52,0.2,0.2,2830,19132,0,0,0,0,0,1.4,1.4,15.63,24.05,1,758,1040858,96
7,1,2319,207,94,0.6,1.2,1132227,33317,31.4,99.6,270.2,584.4,1.2,114.6,244.6,60.4,157.2,2.8,98,984424,76
2,2,1668,73,61,0.2,0.2,7043,12137,0,0,0,0,0,0.2,0.2,15.6,16.8,2,2083,1720422,96
0,0,2362,130,128,0.2,0.2,71809,48947,0,0,0,0,0,27.74,29.54,15.57,62.48,2.8,2381,1411045,92
12,0,6188,624,408,4.99,2,137279,62736,0.2,0.2,0.2,0,0,1.4,1.8,265.07,397.01,1,328,1065847,76
69,53,5445,553,280,4,7,543318,461196,0,0,0,0,0,22.8,34.2,252.8,436.2,1250,71,29,0
42,57,2754,224,136,1,1.2,57544,63620,4.4,16.2,40.8,81.6,0,12.6,12.8,104.2,243.2,2.6,192,1525907,84
1,1,229,22,32,0.2,0.2,10948,19298,0,0,0,0,0,0,0,15.2,16.8,1.2,7291,1865672,98
3,0,3580,278,230,3.19,1,292840,55884,0,0,0,0,0.4,18.76,23.15,163.07,358.08,4.2,1006,1388792,84
1,1,2118,129,71,0.4,0.2,383282,22756,0,0,0,0,0.4,7.4,10,35.4,152.2,1,499,980013,92
10,1,3819,367,252,3.39,2.59,142268,83109,0,0,0,0,0,1.6,1.8,177.45,263.67,2.2,664,1525033,85
3,0,4364,172,182,0.4,0.4,116745,177014,2.4,15.8,35.6,333.8,0.2,2.2,2.2,39,78.4,3.4,159,1619979,87
1,0,2514,120,99,0.8,1.2,276080,32472,0.4,0.6,0.6,0,2.8,0.2,0.2,23.8,36.2,1.6,205,1749656,94
8,1,1714,120,119,2,4,61411,33120,0,0,0,0,0,1.2,2.2,137,171.6,2.4,1188,1536725,89
28,13,3753,371,248,4.6,7.8,487032,117631,0,0,0,0,0,2.4,2.8,263.8,385,5.4,2341,1330541,84
43,59,1132,132,95,0.4,0.4,69187,22703,1.4,1.6,1.6,0,0.6,3.41,5.21,32.67,82.97,3,207,978217,93
58,74,3580,306,157,1.2,4.8,85007,28708,0.2,0.2,0.2,0,0.2,10.2,13,85.2,124.2,5.4,354,1315827,88
2,0,4178,252,175,0.8,1.4,136384,89683,0,0,0,0,0,12.8,12.8,74.4,116.2,2.6,4554,1404134,89
0,0,158,11,13,0.2,0.2,1360,11033,0,0,0,0,0,0.2,0.2,15.6,17.2,1,8372,1864896,99
2,1,1536,133,110,1.4,3.8,24308,22390,1.2,1.2,6.4,10.6,0.6,4.6,5,57.8,113,1.2,162,1102811,91
2,1,740,174,31,1,1,1260379,17197,0,0,0,0,0,0,0,50.2,70.2,2.6,3131,1845962,95
1,0,2295,280,185,0.8,0.8,177334,28072,0,0,0,0,0.4,5.6,6,59,135.4,2.5,979,1127992,89
32,3,3090,299,268,3.4,2.2,266999,123153,0.8,1,8.8,28.4,0.4,20.8,38,212.8,343,2.2,370,1082306,82
9,7,4001,282,162,2.2,7.8,227990,194705,0,0,0,0,0,24.4,45.8,196.4,235.4,5.2,1145,1598792,69
10,0,3003,447,383,9,2.8,273594,10059,0,0,0,0,0,0,0,460,649.2,3.4,8659,1865656,79
19,24,726,57,32,1.6,1.8,148958,4821,0,0,0,0,0,0.2,0.2,115.2,177,1.8,1695,1768030,88
2,1,785,48,44,0.4,1.4,39338,13540,2.6,5.2,5.2,0,0.6,0,0,53.8,82,2,279,992654,96
0,0,181,10,15,0.2,0.2,5478,46886,0,0,0,0,0,0,0,13.03,16.83,1,7854,1874812,98
13,4,3199,418,215,0.2,0.2,426397,54353,7.6,20.2,31.8,47.4,13.8,11.8,13,20.4,139.8,8.6,125,1300486,86
10,7,1638,137,109,0.2,0.2,7565,25868,0,0,0,0,0.4,9.8,10.2,16.6,95.2,2.8,473,976858,93
9,2,2682,376,330,6.8,2,204365,6143,0,0,0,0,0,0,0,333,490.4,2.6,6626,1872949,83
1,0,1359,97,59,0.2,0.2,159517,157847,0,0,0,0,0.2,1.8,3.4,24.8,19.8,3.2,451,1725314,94
11,3,5355,217,189,1,2.6,69167,77462,0,0,0,0,0,0.6,1.2,87.8,118.2,3,928,1523869,86
11,5,1917,72,41,0.8,2.2,90772,26338,0,0,0,0,0,4.61,6.61,31.66,60.32,1041,92,8,0
8,6,2336,206,90,0.4,1,136627,53677,0,0,0,0,0,2.4,2.4,35.2,61.4,5.4,2869,1584662,89
1,1,293,16,19,0.2,0.2,585,10621,0,0,0,0,1,0,0,15.6,17,2,1114,1718784,98
16,4,4378,173,123,9.2,20.6,45835,24670,1.4,1.4,1.4,0,1.2,6.4,8.6,343.4,594.6,1,306,1104760,69
5,0,3091,316,355,3.6,6.6,264451,45752,0,0,0,0,0,0.4,0.4,139,238,5.6,1651,1698152,85
36,47,387,40,42,0.8,0.6,2166,11034,0,0,0,0,0,0.8,0.8,34.8,45,3,1551,1718331,95
10,3,1873,187,210,5.18,5.98,336610,280145,1.59,1.79,1.79,0,1.59,12.75,14.94,200.4,375.3,2.2,235,1014985,76
1,1,3118,281,570,0.4,1.8,34561,111265,0,0,0,0,0,0.2,0.2,21.6,59,2.6,1618,1708282,88
53,49,2724,216,152,0.6,1,31155,43152,2.6,3.6,3.4,0,1.8,4.2,12.4,50.4,97.6,590,90,10,0
24,13,2400,248,154,0.6,0.6,36555,89687,10.38,29.34,45.91,391.62,1.2,4.79,10.58,44.71,79.24,2.3,146,1099612,88
4,0,1660,108,96,0.6,0.4,126729,60770,16.8,21.8,21.8,0,14.8,3.2,9.8,33.8,81.2,1,208,1016526,91
43,59,3305,119,90,0.4,0.6,34432,20538,5.2,8.4,14.2,21,0.8,2.8,3,34,62.2,1,181,1015472,93
9,7,3711,208,121,2.2,7.8,193836,177797,0,0,0,0,0,0.6,0.8,191.6,219.6,3.2,2513,1582630,80
2,0,1997,75,60,0.2,0.2,15216,20451,0,0,0,0,0,2.6,3.8,20.8,35.8,4.4,694,1642832,96
63,63,2254,283,232,7.4,3.6,141409,30567,13.6,35.4,88,230,0.8,0.8,0.8,305.2,539.8,1.8,184,966634,79
4,0,2732,239,161,0.8,0.4,78597,91067,5.6,14.4,23.6,39,0.6,5.8,9.8,47.8,150.4,1.3,212,1053800,88
4,0,2306,146,41,3.8,4.6,353240,40932,0,0,0,0,0,8.2,15.8,268.6,442,3.8,2911,1799469,73
7,2,1605,189,150,2.59,4.18,233699,128372,16.93,39.04,79.28,206.18,0,33.67,62.15,183.07,295.42,1,135,1034875,82
98,92,2289,455,304,2,1,1079576,56489,5.2,10,19.6,24.8,0.8,12.8,14,112.6,194.8,1,193,974730,84
2,0,5836,294,277,0.4,2,7776,98384,0,0,0,0,0,0,0,19.36,51.5,1.7,327,1067952,88
1,0,600,37,40,0.2,0.2,4767,19880,0.8,0.8,0.8,0,0,0.4,0.6,15.83,23.45,1.5,289,1018485,97
40,3,4682,294,173,8.38,19.36,162052,55293,4.19,7.58,25.95,49.3,1.8,5.59,8.78,327.15,560.28,4,151,1107687,68
45,58,948,99,48,1.4,8.6,101409,22408,0,0,0,0,0,0.4,0.4,45.8,82.6,2.2,3620,1746512,94
7,2,1150,111,119,0.8,0.8,52028,122409,0,0,0,0,2.2,2.6,4.8,91.8,134.8,1,407,1062686,92
9,1,3577,430,226,3.39,3.59,114246,43469,5.59,13.97,38.92,66.47,1,4.59,6.99,210.58,300,3.4,160,993788,80
1,0,444,54,66,0.2,0.2,58812,53197,0,0,0,0,0,0,0,20.2,25,3.2,505,1703970,94
23,13,1205,154,79,1.2,2.81,605642,53078,29.26,109.62,219.44,507.21,1.6,62.73,123.25,137.27,376.75,255,78,21,0
24,16,3737,332,254,3.8,2.6,290677,33078,8.6,14.2,52.2,85.2,3.6,4.2,8.4,212.6,391.8,1.5,170,981816,81
30,26,1993,185,160,1.2,1.2,529293,226883,18.16,33.33,34.33,7.39,3.19,27.15,28.74,118.16,218.36,2,181,1079669,82
1,0,1817,128,103,0.4,1.8,26502,27641,1.8,2.4,2.4,0,0,7.2,8.2,19.4,55.8,1,201,1028013,94
0,0,1073,57,51,0.2,0.2,2235,25862,0,0,0,0,0,0,0,15.6,16.8,1.2,7721,1871742,98
7,0,2622,154,118,6.6,17.2,109539,47095,0,0,0,0,0,8.2,9.2,244.4,461,1.6,473,1082902,75
3,0,1232,244,173,0.8,0.8,307433,27955,0,0,0,0,0,3.2,3.8,79.4,130.2,3,3027,1734002,89
8,0,1803,367,300,0.2,0.2,516137,229603,5.61,41.88,118.04,216.23,3.01,43.09,88.78,14.23,94.99,1.2,130,1044431,89
1,0,5670,199,126,0.2,0.2,13572,50962,1.2,1.4,1.8,0.4,0.2,1,1.2,13.2,43,1,128,1013904,94
1,0,2497,362,169,0.8,2,262300,41748,0,0,0,0,0,8.38,9.78,109.58,170.06,2.4,2632,1042780,82
1,1,202,17,36,0.2,0.2,12392,4021,0,0,0,0,0,0,0,15.6,16.8,1,5426,1862208,98
86,47,2365,291,270,2.6,5.8,242125,183977,0,0,0,0,0,62.6,73.2,160.2,311.2,1,649,1096326,81
3,1,4821,236,258,2,9.38,83870,479867,0,0,0,0,0,10.58,10.58,74.45,163.87,2,963,1037206,80
1,1,2683,228,107,0.8,2.2,949201,88398,0,0,0,0,0,2,2,40.12,106.99,1,508,1029589,88
18,16,2304,506,238,1,1,576576,492864,6.2,10.2,9.6,0,9.4,0.8,0.8,80.6,82,1.6,621,1044544,89
21,18,1111,157,164,0.6,0.8,188084,634890,0,0,0,0,1.2,1.2,4.2,55.4,129.4,1083,88,11,0
2,0,1887,58,47,1.4,4.2,48685,6603,0,0,0,0,0,5.6,10.8,42.8,69.4,1.6,4586,1828430,90
1,0,452,46,48,0.4,0.4,12705,45613,0,0,0,0,0,2.4,3.2,37.8,43.4,3.2,1241,1712851,96
6,1,7448,1590,1544,4.4,1.6,1349215,1292798,0,0,0,0,0,5,7.8,257.2,349.4,1.7,725,1113125,60
0,0,3657,230,131,0.4,0.6,350733,241407,0,0,0,0,0,1,1,35.2,46.6,5.4,1594,1615850,92
68,52,1189,110,60,1,1.2,27373,23232,5.8,23,34.4,78,1.2,36.4,64.2,75.2,249.4,1.5,331,1023208,89
1,1,949,227,48,0.8,0.8,120175,13528,0.8,0.8,0.8,0,0.4,1.8,2.61,45.89,74.75,1,276,1731014,94
19,24,961,151,124,2.2,0.8,71986,28290,0,0,0,0,0,3,5.8,112,157,2.6,852,1704750,93
37,44,2886,451,357,7.6,2,467306,99716,0,0,0,0,0,6.6,13.2,373.4,542.2,6.8,1607,1756069,75
1,0,756,53,34,0.8,0.8,20042,23249,0,0,0,0,0,0,0,58.6,83.6,1,1185,1745314,94
25,8,4772,171,118,4.6,20.2,119132,119493,0,0,0,0,0.2,0.6,0.6,326,401.2,4,1653,1643622,72
9,1,1224,109,75,1.8,3.39,58668,23476,1.8,2,2.2,0.6,0.8,1,1,91.42,170.46,2,156,973889,92
13,1,4392,524,392,10.38,18.76,308510,22421,2.2,7.19,12.18,23.35,1.2,13.77,23.75,436.73,812.97,1.5,172,1107251,64
184,138,4782,626,394,1.6,4.6,132194,158954,20.4,45,53,42.8,12.6,11.8,20.8,71,214.4,1.3,149,1016229,77
5,3,2625,136,117,1,0.8,20621,48605,0,0,0,0,0.2,5.2,5.6,46.2,88.2,1,478,1067037,90
1,1,3845,192,125,0.4,0.4,93527,135304,0,0,0,0,0,3.2,3.2,34,61.4,7.5,1875,1005304,85
44,53,3236,552,553,3.2,1.4,436934,459568,0,0,0,0,0,7.4,8.8,167,282.8,2.8,623,1059738,80
9,8,1509,102,88,0.4,0.4,116728,71547,5.01,9.82,9.02,5.61,2.81,5.61,9.62,38.88,51.5,2,152,1087258,92
66,53,4338,354,220,6.97,19.12,207848,84626,4.98,25.3,65.14,164.54,0.6,21.51,33.47,298.8,545.42,3,159,1094373,64
0,0,261,20,14,0.2,0.2,810,5665,0,0,0,0,0,0,0,15.6,16.8,2,504,1747160,93
14,3,1522,144,117,2.2,4.19,196094,70633,1.2,1.2,1.2,0,21.96,5.39,10.38,204.79,260.88,2.2,335,1063077,88
20,2,3229,197,115,4.8,5.2,270106,85338,0,0,0,0,0,0.2,0.2,253.8,443.8,3.8,1491,1547806,83
76,70,4243,291,210,2,0.6,233251,135677,1.8,8,15,26.6,0,8.8,20.4,100,176.6,4.2,154,1326290,90
182,44,902,222,184,1.6,1.8,227621,205407,0,0,0,0,0,20.24,39.68,151.9,154.31,1.8,2528,1784827,82
63,81,2007,224,100,1,3,675249,84771,4.2,14.6,34,57.4,5.8,14.4,25.6,107,249.6,7.2,202,1586085,83
6,1,1560,110,145,1.2,1,29946,47399,0,0,0,0,0,1.4,1.6,79.8,121.8,2.2,2428,1538910,93
8,0,1853,111,82,6.81,20.64,33097,18311,1,1,2.2,5.01,0,2.61,2.61,230.66,431.46,1,137,1091089,80
2,1,406,41,32,0.2,0.2,3373,7138,0,0,0,0,0,0.6,0.8,15.6,18.2,1,579,1752968,98
36,48,4637,858,472,1.6,3.2,226690,79258,0,0,0,0,0.8,24.2,36.8,120.4,262.6,4.4,1105,1542547,76
8,1,2685,221,82,3.79,5.19,242335,67322,1.8,5.99,41.92,68.46,0.2,18.76,27.54,235.73,432.34,1,99,1064798,82
1,0,458,97,80,0.2,0.2,126668,50140,0,0,0,0,0,0,0,21.2,17,3,6276,1722750,97
230,170,7266,608,475,6.2,9,510565,259471,0,0,0,0,0.6,4.4,5,380.6,544.6,5.2,545,1530973,59
1,0,1817,181,132,0.4,0.6,320521,158073,11.02,36.27,56.71,65.93,4.01,12.22,18.44,43.69,171.34,1.6,132,1121385,88
5,0,4896,168,120,4,8.4,137924,143835,7.4,11.6,10.2,0,0.8,6.8,11.2,253.8,387,3.8,300,1015395,74
6,0,5959,1191,1060,3.61,1,964823,871943,0,0,0,0,0,13.23,17.03,170.34,547.5,1,797,1062269,71
14,5,1238,77,61,0.2,0.2,107535,56627,0,0,0,0,0.4,9.02,14.03,16.23,23.45,370,95,5,0
1,1,184,17,18,0.2,0.2,8652,4487,0,0,0,0,0,0.4,0.4,15.4,16.8,1,7306,1863872,98
4,1,4182,770,659,2.4,1.6,522993,475727,0,0,0,0,0,0.2,0.2,143.6,200,1,842,1130637,79
1,0,957,165,97,0.2,0.2,19800,41088,0,0,0,0,0,0.2,0.2,19,23.8,1.8,1746,1768891,88
49,64,2339,224,77,2.6,3,221330,25672,3.6,25.4,47,86.2,2.6,2.4,2.6,200.8,292.6,2.6,160,1107094,86
2,1,1363,291,389,0.4,0.4,679012,348619,0,0,0,0,0,30.4,58.4,27.8,56.8,1.8,1344,1707259,84
22,19,924,96,70,1.6,2,22095,21418,0,0,0,0,0,12.4,16,115.4,175.4,1,599,1017939,90
37,53,1569,139,77,0.2,0.4,60204,26377,0,0,0,0,0,11.78,11.78,34.73,90.22,1,328,1021311,94
4,2,1350,171,94,0.4,0.4,10284,51892,0,0,0,0,0.2,0.2,0.2,30.06,41.88,380,95,5,0
6,2,2361,121,78,0.4,0.4,196740,83650,0.2,0.8,0.4,0,0,3.4,3.8,30.4,58.2,3,2043,988526,93
12,11,4931,544,254,0.2,0.2,237284,187031,3.61,4.81,4.81,0,0.2,28.46,28.86,36.07,67.33,1.8,377,1007014,85
4,3,3183,180,115,0.8,1.2,13539,20608,2,2.2,2.2,0,0.8,2.8,2.8,64,146.8,1,247,1011902,88
1,0,3839,317,164,0.6,1.2,97366,49773,1.4,1.4,10.38,12.77,0,8.78,8.78,62.48,100.4,1.5,157,1124760,86
2,0,3329,392,156,0.4,1.8,509620,63742,0,0,0,0,0.6,13.8,25.4,33.2,54.4,1,472,1078000,88
